[2024-11-12T02:08:01.961+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-12T02:08:02.642+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: StockForcastingNext7WorkingDaysTodayOnward.load90DaysDataToSnowflake manual__2024-11-12T02:07:17.027838+00:00 [queued]>
[2024-11-12T02:08:02.762+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: StockForcastingNext7WorkingDaysTodayOnward.load90DaysDataToSnowflake manual__2024-11-12T02:07:17.027838+00:00 [queued]>
[2024-11-12T02:08:02.774+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-12T02:08:02.976+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): load90DaysDataToSnowflake> on 2024-11-12 02:07:17.027838+00:00
[2024-11-12T02:08:03.534+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=7683) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-12T02:08:03.582+0000] {standard_task_runner.py:63} INFO - Started process 7728 to run task
[2024-11-12T02:08:03.724+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'StockForcastingNext7WorkingDaysTodayOnward', 'load90DaysDataToSnowflake', 'manual__2024-11-12T02:07:17.027838+00:00', '--job-id', '119', '--raw', '--subdir', 'DAGS_FOLDER/Conn_Forcasting_DagFile.py', '--cfg-path', '/tmp/tmpxrpagbdo']
[2024-11-12T02:08:03.958+0000] {standard_task_runner.py:91} INFO - Job 119: Subtask load90DaysDataToSnowflake
[2024-11-12T02:08:20.508+0000] {task_command.py:426} INFO - Running <TaskInstance: StockForcastingNext7WorkingDaysTodayOnward.load90DaysDataToSnowflake manual__2024-11-12T02:07:17.027838+00:00 [running]> on host d99256b0cb87
[2024-11-12T02:08:22.389+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='StockForcastingNext7WorkingDaysTodayOnward' AIRFLOW_CTX_TASK_ID='load90DaysDataToSnowflake' AIRFLOW_CTX_EXECUTION_DATE='2024-11-12T02:07:17.027838+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-12T02:07:17.027838+00:00'
[2024-11-12T02:08:22.543+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-12T02:08:22.648+0000] {base.py:84} INFO - Using connection ID 'snowflake_conn' for task execution.
[2024-11-12T02:09:08.223+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:09.295+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:10.003+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:10.668+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:11.292+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:11.901+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:12.466+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:12.995+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:13.608+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:14.366+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:14.909+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:15.535+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:16.154+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:17.171+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:18.064+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:18.599+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:19.270+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:19.840+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:20.464+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:21.429+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:22.303+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:22.906+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:23.471+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:24.204+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:24.809+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:25.764+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:26.608+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:27.341+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:28.133+0000] {cursor.py:1149} INFO - Number of results in first chunk: 1
[2024-11-12T02:09:28.181+0000] {python.py:237} INFO - Done. Returned value was: None
[2024-11-12T02:09:28.195+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-11-12T02:09:28.340+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=StockForcastingNext7WorkingDaysTodayOnward, task_id=load90DaysDataToSnowflake, run_id=manual__2024-11-12T02:07:17.027838+00:00, execution_date=20241112T020717, start_date=20241112T020802, end_date=20241112T020928
[2024-11-12T02:09:28.783+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-11-12T02:09:28.964+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
